"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2015","14,373.7","14,283.9","14,523.4","14,283.9","1.48M","0.42%"
"12/10/2015","14,313.8","14,433.6","14,553.4","14,313.8","1.62M","-0.83%"
"12/09/2015","14,433.6","14,673.1","14,792.9","14,433.6","1.95M","-1.63%"
"12/08/2015","14,673.1","14,164.1","14,703.1","14,104.2","2.97M","3.16%"
"12/07/2015","14,224.0","14,313.8","14,373.7","14,224.0","2.37M","-0.83%"
"12/04/2015","14,343.7","14,523.4","14,523.4","14,283.9","2.29M","-1.24%"
"12/03/2015","14,523.4","14,523.4","14,583.3","14,463.5","912.10K","0.21%"
"12/02/2015","14,493.5","14,433.6","14,583.3","14,433.6","1.79M","0.42%"
"12/01/2015","14,433.6","14,553.4","14,613.3","14,403.6","1.66M","-0.21%"
"11/30/2015","14,463.5","14,673.1","14,673.1","14,463.5","2.97M","-1.23%"
"11/27/2015","14,643.2","14,733.0","14,942.7","14,643.2","4.04M","-0.20%"
"11/26/2015","14,673.1","14,912.7","14,972.6","14,673.1","1.98M","-2.00%"
"11/25/2015","14,972.6","14,763.0","15,122.3","14,523.4","3.48M","1.83%"
"11/24/2015","14,703.1","14,882.8","14,882.8","14,493.5","7.48M","-0.81%"
"11/23/2015","14,822.9","15,272.0","15,421.8","14,822.9","5.46M","-2.94%"
"11/20/2015","15,272.0","15,272.0","15,571.5","15,272.0","3.18M","-0.97%"
"11/19/2015","15,421.8","15,571.5","15,871.0","15,421.8","2.91M","-0.96%"
"11/18/2015","15,571.5","15,421.8","15,871.0","15,421.8","3.63M","0.00%"
"11/17/2015","15,571.5","16,020.7","16,170.4","15,571.5","5.67M","-3.70%"
"11/16/2015","16,170.4","16,170.4","16,469.9","15,871.0","6.41M","-0.92%"
"11/13/2015","16,320.1","15,871.0","16,320.1","15,721.2","7.33M","2.83%"
"11/12/2015","15,871.0","15,272.0","16,020.7","15,122.3","9.33M","4.95%"
"11/11/2015","15,122.3","15,122.3","15,571.5","15,122.3","4.75M","-0.98%"
"11/10/2015","15,272.0","15,421.8","15,571.5","15,122.3","5.44M","-0.97%"
"11/09/2015","15,421.8","15,571.5","15,721.2","15,421.8","5.40M","-1.90%"
"11/06/2015","15,721.2","16,020.7","16,320.1","15,571.5","8.40M","-1.87%"
