"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2022","76,961","78,249","78,249","75,575","3.50M","-1.65%"
"06/16/2022","78,249","78,249","78,249","76,862","6.04M","6.97%"
"06/15/2022","73,148","71,811","73,148","71,316","5.12M","2.93%"
"06/14/2022","71,068","68,592","71,464","68,344","3.21M","2.50%"
"06/13/2022","69,335","71,811","73,049","69,335","6.46M","-6.67%"
"06/10/2022","74,287","76,268","76,763","74,287","3.88M","-1.83%"
"06/09/2022","75,674","75,971","76,763","74,931","2.26M","-0.39%"
"06/08/2022","75,971","76,417","78,200","75,971","4.15M","0.26%"
"06/07/2022","75,773","76,268","76,268","73,792","3.69M","-0.45%"
"06/06/2022","76,119","75,775","77,005","75,775","3.78M","0.98%"
"06/03/2022","75,381","72,675","75,923","72,675","3.34M","3.72%"
"06/02/2022","72,675","72,085","74,053","71,593","3.61M","1.51%"
"06/01/2022","71,593","71,297","72,331","70,855","2.12M","0.42%"
"05/31/2022","71,297","71,445","71,445","70,363","1.48M","-0.21%"
"05/30/2022","71,445","72,183","72,577","70,559","2.52M","-1.02%"
"05/27/2022","72,183","68,493","72,282","68,493","5.10M","5.54%"
"05/26/2022","68,394","68,886","69,132","66,918","1.43M","0.00%"
"05/25/2022","68,394","66,131","69,624","65,934","3.12M","4.51%"
"05/24/2022","65,442","64,409","65,442","63,868","1.16M","1.68%"
"05/23/2022","64,360","66,426","66,426","63,966","1.08M","-2.39%"
"05/20/2022","65,934","65,196","66,820","64,950","1.74M","0.75%"
"05/19/2022","65,442","63,966","65,688","63,622","1.68M","-0.37%"
"05/18/2022","65,688","64,802","65,787","63,868","1.61M","1.44%"
"05/17/2022","64,753","61,457","64,753","60,030","2.11M","6.99%"
"05/16/2022","60,522","65,196","65,196","59,636","2.67M","-1.68%"
"05/13/2022","61,555","66,131","66,475","61,555","5.49M","-6.92%"
"05/12/2022","66,131","68,837","68,837","66,131","3.41M","-4.68%"
"05/11/2022","69,378","68,985","69,378","67,509","2.33M","0.64%"
"05/10/2022","68,936","66,426","68,936","65,442","3.64M","2.71%"
"05/09/2022","67,115","70,953","71,002","67,115","5.39M","-6.96%"
"05/06/2022","72,134","72,085","73,266","71,888","2.17M","-1.87%"
"05/05/2022","73,512","74,053","74,053","71,396","2.34M","-0.07%"
